param,lv1,lv2,lv3,lv4,catg_nm_full
50001907,식품,다이어트식품,다이어트차,NA,다이어트식품_다이어트차_NA
50001910,식품,다이어트식품,다이어트바,NA,다이어트식품_다이어트바_NA
50001911,식품,다이어트식품,가르시니아,NA,다이어트식품_가르시니아_NA
50001908,식품,다이어트식품,식이섬유,NA,다이어트식품_식이섬유_NA
50001912,식품,다이어트식품,CLA,NA,다이어트식품_CLA_NA
50001914,식품,다이어트식품,헬스보충제,NA,다이어트식품_헬스보충제_NA
50001915,식품,다이어트식품,뷰티푸드,NA,다이어트식품_뷰티푸드_NA
50001767,식품,다이어트식품,기타다이어트식품,NA,다이어트식품_기타다이어트식품_NA
50006954,식품,다이어트식품,곤약,곤약쌀,다이어트식품_곤약_곤약쌀
50006955,식품,다이어트식품,곤약,곤약젤리,다이어트식품_곤약_곤약젤리
50006957,식품,다이어트식품,곤약,기타곤약가공품,다이어트식품_곤약_기타곤약가공품
50007037,식품,다이어트식품,콜라겐,NA,다이어트식품_콜라겐_NA
50007038,식품,다이어트식품,와일드망고,NA,다이어트식품_와일드망고_NA
50007039,식품,다이어트식품,잔티젠,NA,다이어트식품_잔티젠_NA
50007040,식품,다이어트식품,카테킨,NA,다이어트식품_카테킨_NA
50007041,식품,다이어트식품,히알루론산,NA,다이어트식품_히알루론산_NA
50007219,식품,다이어트식품,레몬밤,NA,다이어트식품_레몬밤_NA
50006350,식품,전통주,탁주,NA,전통주_탁주_NA
50006351,식품,전통주,약주,NA,전통주_약주_NA
50006353,식품,전통주,소주,NA,전통주_소주_NA
50006354,식품,전통주,일반증류주,NA,전통주_일반증류주_NA
50006355,식품,전통주,리큐르주,NA,전통주_리큐르주_NA
50006356,식품,전통주,기타주류,NA,전통주_기타주류_NA
50006949,식품,전통주,과실주,와인,전통주_과실주_와인
50006950,식품,전통주,과실주,복분자주,전통주_과실주_복분자주
50006951,식품,전통주,과실주,과일주,전통주_과실주_과일주
50006952,식품,전통주,전통주선물세트,NA,전통주_전통주선물세트_NA
